,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
75,Rio Branco,40,BR,1585980434,100,-9.97,-67.81,73.4,5.82
76,Jamestown,75,US,1585980616,86,42.1,-79.24,42.01,3.36
77,Totness,26,SR,1585980618,83,5.88,-56.32,78.04,13.13
78,Upernavik,65,GL,1585980620,78,72.79,-56.15,7.27,11.01
79,Saint-Michel-des-Saints,42,CA,1585980623,8,46.68,-73.92,36,1.01
80,Port Blair,10,IN,1585980625,67,11.67,92.75,84.11,8.32
81,Madang,65,PG,1585980627,74,-5.22,145.8,85.55,8.16
82,Fort-Shevchenko,0,KZ,1585980629,64,44.51,50.26,48.99,4.29
83,Nhulunbuy,76,AU,1585980631,62,-12.23,136.77,87.8,11.41
84,Hermanus,10,ZA,1585980633,68,-34.42,19.23,64.99,5.5
85,Morondava,57,MG,1585980635,64,-20.28,44.28,81.43,8.5
86,Souillac,40,MU,1585980637,83,-20.52,57.52,82,3.36
87,Nanortalik,43,GL,1585980511,84,60.14,-45.24,26.49,17.78
88,Blenheim,52,NZ,1585980571,84,-41.52,173.95,64,1.01
89,Butaritari,92,KI,1585980643,74,3.07,172.79,83.98,10.76
90,Vanavara,23,RU,1585980648,78,60.34,102.28,32.54,13.02
91,Pohořelice,20,CZ,1585980650,80,48.98,16.52,43,4.7
92,Tsimmerbude,40,RU,1585980652,73,54.67,20.13,37.4,8.95
93,Korla,85,CN,1585980538,21,41.76,86.15,60.46,4.63
94,Chernyshevskiy,93,RU,1585980656,91,63.01,112.47,23.85,18.14
95,Sítio Novo do Tocantins,100,BR,1585980658,94,-5.52,-47.46,75.2,1.43
96,Paka,40,MY,1585980662,70,4.64,103.44,87.8,8.05
97,Greystones,75,IE,1585980664,81,53.14,-6.06,45,6.93
98,Progreso,5,MX,1585980666,54,21.28,-89.67,82.4,10.29
99,Bathsheba,75,BB,1585980578,83,13.22,-59.52,78.8,16.11
100,Pisco,74,PE,1585980671,88,-13.7,-76.22,69.01,9.17
101,Yaan,93,NG,1585980566,78,7.38,8.57,79.99,6.04
102,Rayachoti,1,IN,1585980460,15,14.05,78.75,97.23,9.13
103,Shekhupura,0,PK,1585980677,32,31.71,73.98,82.4,3.36
104,Opuwo,5,NA,1585980679,51,-18.06,13.84,69.96,6.49
105,Dhārchula,0,IN,1585980681,12,29.85,80.53,72.41,7.16
106,Chokurdakh,39,RU,1585980684,91,70.63,147.92,-4.22,6.73
107,Camacupa,100,AO,1585980686,64,-12.02,17.48,62.91,3
108,Tanabe,20,JP,1585980689,72,33.73,135.37,64.4,10.29
109,Chui,0,UY,1585980484,83,-33.7,-53.46,59.11,5.17
110,San Patricio,11,MX,1585980693,60,19.22,-104.7,73.22,5.5
111,Saint-Philippe,75,RE,1585980510,88,-21.36,55.77,84.2,5.82
112,Kisangani,100,CD,1585980697,84,0.52,25.2,72.5,2.66
113,Okha,94,RU,1585980495,93,53.57,142.95,29.39,5.86
114,New Norfolk,75,AU,1585980702,47,-42.78,147.06,55.4,16.11
115,Dwārka,0,IN,1585980706,69,22.24,68.97,79.36,12.88
116,Puerto del Rosario,20,ES,1585980709,82,28.5,-13.86,66.2,6.93
117,Kosikha,83,RU,1585980711,44,53.36,84.58,41,8.95
118,Hobart,75,AU,1585980713,47,-42.88,147.33,55.4,16.11
119,Coromandel,84,BR,1585980718,75,-18.47,-47.2,65.43,2.13
120,Leningradskiy,60,RU,1585980720,91,69.38,178.42,-1.14,9.42
121,Vaini,75,TO,1585980722,78,-21.2,-175.2,78.8,6.93
122,Okhotsk,5,RU,1585980724,90,59.38,143.3,25.66,4.72
123,Shingū,20,JP,1585980726,72,33.73,135.98,64.4,10.29
124,Mehamn,98,NO,1585980730,88,71.04,27.85,26.15,8.48
125,Doha,6,QA,1585980733,57,25.29,51.53,82.4,13.87
126,Longyearbyen,75,SJ,1585980736,65,78.22,15.64,6.8,25.28
127,Joniškis,35,LT,1585980738,73,56.24,23.62,35.6,10.29
128,East Liverpool,1,US,1585980740,79,40.62,-80.58,42.8,2.51
129,Moose Factory,90,CA,1585980742,100,51.26,-80.61,23,4.7
130,Haines Junction,98,CA,1585980744,87,60.75,-137.51,23.04,3.44
131,Tuatapere,100,NZ,1585980746,81,-46.13,167.68,64,5.32
132,Sitka,90,US,1585980748,86,57.05,-135.33,33.8,5.5
133,Olutanga,7,PH,1585980750,68,7.31,122.85,84.56,5.08
134,Peleduy,100,RU,1585980724,85,59.63,112.74,36.5,7.56
135,Port-Cartier,90,CA,1585980756,98,50.03,-66.87,32,2.24
136,Vestmannaeyjar,100,IS,1585980758,86,63.44,-20.27,28.89,19.86
137,Port Elizabeth,0,ZA,1585980761,82,-33.92,25.57,68,3.36
138,Trincomalee,42,LK,1585980764,70,8.57,81.23,85.77,6.87
139,Adré,79,TD,1585980767,11,13.47,22.2,83.82,16.02
140,Jalu,55,LY,1585980774,18,29.03,21.55,76.71,7.18
141,Sabha,0,LY,1585980777,57,27.04,14.43,63.32,15.39
142,Wilmington,1,US,1585980513,66,34.23,-77.94,55.4,8.46
143,Brownwood,90,US,1585980567,86,31.71,-98.99,42.8,9.17
144,Saint-Augustin,98,CA,1585980786,94,51.23,-58.65,22.73,8.05
145,Bluff,100,NZ,1585980651,81,-46.6,168.33,64,7.58
146,Rehoboth,0,NA,1585980790,41,-23.32,17.08,67.62,3.87
147,Atar,0,MR,1585980792,31,20.52,-13.05,65.23,6.49
148,Sisimiut,18,GL,1585980559,85,66.94,-53.67,5,12.82
149,Dikson,41,RU,1585980500,90,73.51,80.55,8.13,18.45
150,Touros,98,BR,1585980799,94,-5.2,-35.46,77,4.7
151,Tornio,6,FI,1585980579,66,65.85,24.15,12.2,2.24
152,Ixtapa,5,MX,1585980561,78,20.7,-105.2,71.6,3.36
153,Fortuna,1,US,1585980807,93,40.6,-124.16,44.01,3.87
154,Praia da Vitória,40,PT,1585980575,87,38.73,-27.07,59,31.65
155,Ponta do Sol,75,PT,1585980535,88,32.67,-17.1,64.4,18.34
156,Rome,90,US,1585980665,93,43.21,-75.46,44.6,4.7
157,Wahiawā,20,US,1585980815,88,21.5,-158.02,80.6,3.53
158,Bilibino,91,RU,1585980817,84,68.05,166.44,-3.41,3.04
159,Ketchikan,90,US,1585980820,74,55.34,-131.65,33.8,1.05
160,Qarchī Gak,75,AF,1585980822,46,37.04,66.79,75.2,6.93
161,Olafsvik,100,IS,1585980562,90,64.89,-23.71,24.46,35.43
162,Tottori-shi,20,JP,1585980830,55,35.5,134.23,66.2,19.46
163,Namatanai,100,PG,1585980563,89,-3.67,152.43,77.88,7.14
164,Celestún,21,MX,1585980834,73,20.87,-90.4,80.04,13.13
165,Alugan,3,PH,1585980836,70,12.22,125.48,82.33,9.17
166,Atuona,32,PF,1585980843,76,-9.8,-139.03,82.49,15.26
167,Namchi,0,IN,1585980845,12,27.17,88.35,78.67,6.4
168,Nara,20,JP,1585980737,42,34.69,135.8,72,14.99
169,Dezhou,7,CN,1585980849,27,37.45,116.29,61.61,13.15
170,Karratha,97,AU,1585980852,33,-20.74,116.85,91.71,16.44
171,Beloha,29,MG,1585980854,63,-25.17,45.05,74.12,16.46
172,Cayenne,75,GF,1585980856,94,4.93,-52.33,78.8,9.1
173,Sørland,90,NO,1585980858,86,67.67,12.69,26.6,8.05
174,Cabedelo,20,BR,1585980860,100,-6.98,-34.83,77,3.36
175,Sterling,20,US,1585980655,61,39.01,-77.43,52,9.17
176,Clyde River,1,CA,1585980865,77,70.47,-68.59,5,27.51
177,Wanning,34,CN,1585980867,74,18.8,110.4,81.7,8.99
178,Nabire,43,ID,1585980869,65,-3.37,135.48,87.64,4.94
179,Abhā,1,SA,1585980872,35,18.22,42.51,75.2,6.93
180,Constitución,37,CL,1585980874,72,-35.33,-72.42,59.5,9.51
181,Soma,75,TR,1585980599,93,39.19,27.61,51.8,1.12
182,Cap Malheureux,40,MU,1585980880,78,-19.98,57.61,82,8.05
183,Vanimo,71,PG,1585980884,78,-2.67,141.3,83.62,11.34
184,Oktyabr'skoye,75,RU,1585980886,81,43.06,44.74,42.8,2.24
185,La Ronge,5,CA,1585980888,76,55.1,-105.28,-4,2.24
186,Saint-Joseph,75,RE,1585980819,88,-21.37,55.62,84.2,5.82
187,Hellvik,40,NO,1585980892,92,59.92,5.78,34,5.82
188,Torbay,90,CA,1585980895,92,47.67,-52.73,30.99,13.87
189,Tilichiki,0,RU,1585980897,88,60.47,166.1,7.2,19.86
190,Coquimbo,35,CL,1585980678,87,-29.95,-71.34,59,5.82
191,Cogon,7,PH,1585980902,59,11.46,122.8,86.25,9.13
192,Lebu,50,CL,1585980904,86,-37.62,-73.65,57.24,14.67
193,Port Keats,39,AU,1585980906,66,-14.25,129.55,89.85,10.6
194,Tongling,62,CN,1585980908,44,30.95,117.78,67.69,8.3
195,Ayan,29,RU,1585980910,87,56.45,138.17,26.38,5.77
196,Honningsvåg,91,NO,1585980912,93,70.98,25.97,30.29,27.78
197,Sydney,0,AU,1585980722,25,-33.87,151.21,77,29.97
198,Myitkyina,57,MM,1585980917,21,25.38,97.4,96.12,3.44
199,Galle,57,LK,1585980857,60,6.04,80.22,87.42,0.56
200,Bengkulu,56,ID,1585980921,62,-3.8,102.27,87.89,5.19
201,Deputatsky,9,RU,1585980923,86,69.3,139.9,-0.8,3.8
202,Huarmey,37,PE,1585980925,79,-10.07,-78.15,72.21,6.38
203,Itaituba,99,BR,1585980927,95,-4.28,-55.98,73.74,1.7
204,Mariehamn,0,AX,1585980929,55,60.1,19.93,35.6,2.24
205,Hachinohe,40,JP,1585980932,23,40.5,141.5,64.4,14.99
206,Kinablangan,8,PH,1585980934,56,7.69,126.55,84.74,9.4
207,São João da Barra,49,BR,1585980939,75,-21.64,-41.05,73.6,17.2
208,Jiaozhou,0,CN,1585980942,18,36.28,120,60.8,8.95
209,Iqaluit,5,CA,1585980944,62,63.75,-68.51,-13,10.29
210,Saint George,1,US,1585980940,40,37.1,-113.58,55,8.05
211,Cherskiy,100,RU,1585980952,91,68.75,161.3,-2.24,5.19
212,Vânători,75,RO,1585980954,80,45.73,27.25,33.8,6.93
213,Port Alfred,0,ZA,1585980956,65,-33.59,26.89,77,1.99
214,Ubalá,12,CO,1585980958,74,4.75,-72.54,77.79,1.66
215,Esperance,90,AU,1585980961,48,-33.87,121.9,66.2,6.93
216,Harper,53,LR,1585980965,84,4.38,-7.72,80.8,4.43
217,Buenos Aires,37,AR,1585980963,72,-34.61,-58.38,66.2,9.17
218,Alamosa,90,US,1585980969,38,37.47,-105.87,41,7.05
219,Bourail,77,NC,1585980972,72,-21.57,165.48,80.78,8.37
220,Merauke,18,ID,1585980974,70,-8.47,140.33,85.35,6.89
221,Tulsīpur,0,NP,1585980978,10,28.13,82.3,87.08,6.55
222,Surat Thani,20,TH,1585980980,50,9.14,99.33,96.01,9.17
223,Muli,93,MV,1585980983,67,2.92,73.57,84,11.52
224,Port Lincoln,55,AU,1585980985,59,-34.73,135.87,61.63,21.36
225,Broome,90,US,1585980988,93,42.25,-75.83,43,5.82
226,Koumra,97,TD,1585980990,55,8.91,17.55,81.88,10.45
227,Ostrovnoy,80,RU,1585980993,94,68.05,39.51,18.45,16.71
228,Yulara,3,AU,1585980995,19,-25.24,130.99,78.8,11.41
229,Honiara,75,SB,1585981000,70,-9.43,159.95,86,9.17
230,Les Cayes,6,HT,1585981002,74,18.2,-73.75,76.91,1.12
231,Road Town,40,VG,1585981004,78,18.42,-64.62,78.8,4.7
232,Xai-Xai,98,MZ,1585980786,78,-25.05,33.64,73.8,5.19
233,Bondo,100,CD,1585981008,79,3.81,23.69,71.01,3.49
234,Baruun-Urt,0,MN,1585981010,23,46.68,113.28,54.64,18.92
235,Hatillo,42,PR,1585981012,95,18.49,-66.83,77,5.35
236,Makakilo City,1,US,1585981015,73,21.35,-158.09,80.6,4.7
237,Ayagoz,25,KZ,1585981017,34,47.97,80.44,52.66,11.21
238,Mānsa,0,IN,1585981020,16,29.98,75.38,88.16,5.14
239,Guerrero Negro,100,MX,1585980971,77,27.98,-114.06,59.22,15.43
240,Sirte,24,LY,1585981025,68,31.21,16.59,60.66,27.56
241,Zhigansk,100,RU,1585981027,96,66.77,123.37,19.53,32.06
242,São Filipe,0,CV,1585981030,70,14.9,-24.5,73.69,14.18
243,Sur,1,OM,1585981032,41,22.57,59.53,87.1,7.72
244,Mīzan Teferī,97,ET,1585981035,44,6.98,35.58,73.04,0.25
245,Tiksi,100,RU,1585981037,94,71.69,128.87,17.56,15.64
246,Klang,40,MY,1585981039,59,3.03,101.45,93.2,3.36
247,Manggar,86,ID,1585981042,74,-2.88,108.27,85.28,8.16
248,Kloulklubed,75,PW,1585981045,70,7.04,134.26,86,12.75
249,Tumbes,44,PE,1585981047,83,-3.57,-80.44,75.15,1.63
250,Portales,1,US,1585980879,74,34.19,-103.33,39.2,10.29
251,Boguchany,1,RU,1585981052,65,58.38,97.45,39.13,9.78
252,Dunedin,96,NZ,1585981055,80,-45.87,170.5,57.99,1.99
253,Meulaboh,93,ID,1585981057,65,4.14,96.13,87.93,4.59
254,Khatanga,100,RU,1585981059,93,71.97,102.5,12.65,20.83
255,Pryazha,100,RU,1585981063,95,61.69,33.62,32,13.42
256,Kaniama,66,CD,1585981066,69,-7.57,24.18,67.71,6.51
257,Camacha,40,PT,1585981068,88,33.08,-16.33,64.4,19.46
258,Abu Samrah,16,SY,1585981070,55,35.3,37.18,56.14,0.45
259,Sémbé,100,CG,1585981072,83,1.65,14.58,68.83,4.09
260,Nyurba,100,RU,1585981075,94,63.28,118.33,34.07,11.81
261,Turbat,0,PK,1585981077,25,26,63.04,89.85,6.35
262,Roald,98,NO,1585981079,92,62.58,6.13,32,8.05
263,Yar-Sale,100,RU,1585981081,94,66.83,70.83,32.99,22.08
264,Stromness,75,GB,1585981083,86,58.97,-3.3,41,13.87
265,Sabang,96,ID,1585981086,71,5.89,95.32,85.5,11.88
266,Aklavik,40,CA,1585981088,50,68.22,-135.01,6.8,4.7
267,Maragheh,75,IR,1585981090,71,37.39,46.24,50,6.93
268,Gaza,0,PS,1585980829,49,31.5,34.47,72,4.7
269,Tazovsky,100,RU,1585981095,97,67.47,78.7,30.87,20.42
270,Kimbe,96,PG,1585981097,84,-5.55,150.14,80.42,5.35
271,Iskateley,100,RU,1585981101,98,67.68,53.15,33.82,16.17
272,Isangel,100,VU,1585981104,83,-19.55,169.27,79.57,13.71
273,Vostok,100,RU,1585981107,64,46.49,135.88,34.97,21.27
274,São Félix do Xingu,93,BR,1585981110,91,-6.64,-51.99,73.09,0.4
275,Beringovskiy,100,RU,1585981113,96,63.05,179.32,14.88,25.64
276,Nāthdwāra,0,IN,1585981116,10,24.93,73.82,88.43,5.28
277,Sinnamary,90,GF,1585981119,84,5.38,-52.95,79.56,13.53
278,‘Ewa Beach,1,US,1585981122,73,21.32,-158.01,80.6,4.7
279,San Luis,0,AR,1585981125,43,-33.3,-66.34,58.8,10.49
280,Port Hardy,75,CA,1585981127,84,50.7,-127.42,32,4.7
281,Joshīmath,1,IN,1585981131,13,30.57,79.57,61.36,6.02
282,Praia,20,CV,1585981134,73,14.92,-23.51,71.6,19.46
283,Along,49,IN,1585981136,36,28.17,94.77,77.27,3.22
284,Cidreira,4,BR,1585981138,77,-30.18,-50.21,64.71,9.46
285,Harlingen,1,US,1585980856,88,26.19,-97.7,78.01,11.41
286,Bairiki Village,40,KI,1585981142,70,1.33,172.98,86,6.93
287,Havøysund,40,NO,1585981144,53,71,24.66,24.8,29.97
288,Teya,83,RU,1585981146,84,60.38,92.63,33.12,9.08
289,Vardø,100,NO,1585981148,94,70.37,31.11,28.71,24.2
290,Anchorage,1,US,1585980901,79,61.22,-149.9,34,3.36
291,Talnakh,90,RU,1585981153,85,69.49,88.4,19.4,20.13
292,Pauini,93,BR,1585980963,93,-7.71,-66.98,73.54,0.56
293,Usinsk,100,RU,1585981157,97,65.99,57.53,34.3,26.11
294,Ust-Nera,87,RU,1585981159,80,64.57,143.2,9.63,7.36
295,Terrace,75,CA,1585981161,42,54.52,-128.6,30.99,2.24
296,North Bend,75,US,1585980938,93,43.41,-124.22,39.2,5.82
297,Rio Grande,5,BR,1585981165,75,-32.03,-52.1,64.69,8.63
298,Caravelas,24,BR,1585981170,86,-17.71,-39.25,79.18,18.66
299,Madimba,20,TZ,1585981172,83,-10.4,40.33,78.8,13.87
300,Severodvinsk,75,RU,1585981174,86,64.56,39.83,28.4,13.42
301,Santiago,6,CL,1585980900,76,-33.46,-70.65,55.4,2.24
302,Omsukchan,99,RU,1585981178,83,62.53,155.8,8.31,2.17
303,Anori,49,BR,1585981182,93,-3.77,-61.64,75.22,1.41
304,Sinop Province,2,TR,1585981189,72,41.77,34.87,44.58,6.29
305,Oranjemund,0,NA,1585981193,63,-28.55,16.43,65.68,4.21
306,Pangkalanbuun,64,ID,1585981051,74,-2.68,111.62,86.79,0.27
307,Glace Bay,90,CA,1585981201,92,46.2,-59.96,32,17.22
308,Winnemucca,1,US,1585981203,35,40.97,-117.74,35.01,8.05
309,Rawson,60,AR,1585981205,38,-43.3,-65.1,59.4,23.73
310,Chumikan,70,RU,1585981208,88,54.72,135.31,30.33,1.48
311,Lábrea,20,BR,1585981210,87,-7.26,-64.8,74.39,0.85
312,Hualmay,46,PE,1585981212,80,-11.1,-77.61,70.88,6.69
313,Belaya Gora,41,RU,1585981215,91,68.53,146.42,6.87,7.11
314,Khanbari,0,NP,1585981029,12,27.37,87.2,81.72,7.05
315,Brae,99,GB,1585981219,74,60.4,-1.35,39.2,10.29
316,Aksha,32,RU,1585981221,24,50.28,113.29,57.94,1.48
317,Kungurtug,28,RU,1585981223,34,50.6,97.52,43.95,2.98
318,Marsá Maţrūḩ,57,EG,1585981225,42,31.35,27.25,64.4,18.34
319,Sibucao,2,PH,1585981227,38,10.42,122.89,93.81,10.2
320,Salinópolis,100,BR,1585981231,83,-0.61,-47.36,80.56,12.66
321,Grindavik,75,IS,1585981233,53,63.84,-22.43,24.8,24.16
322,Lagoa,82,PT,1585981235,81,39.05,-27.98,60.75,33.98
323,Mount Isa,40,AU,1585981239,43,-20.73,139.5,87.8,10.29
324,Fairbanks,40,US,1585981048,92,64.84,-147.72,28.99,1.9
325,Dudinka,90,RU,1585981245,85,69.41,86.18,19.4,20.13
326,Antsohihy,21,MG,1585981247,72,-14.88,47.99,81.72,5.55
327,Bethel,90,US,1585981250,75,41.37,-73.41,48.99,8.05
328,Dabou,20,CI,1585981252,94,5.33,-4.38,80.6,1.12
329,Redlands,90,US,1585981255,62,34.06,-117.18,59,5.82
330,Avanigadda,20,IN,1585981257,49,16.02,80.92,93.2,2.24
331,Krasnyy Yar,0,RU,1585981259,57,46.53,48.35,48.2,6.71
332,Hasaki,20,JP,1585981261,32,35.73,140.83,72,16.11
333,Planegg,13,DE,1585981263,71,48.1,11.42,37.99,3.36
334,Española,90,US,1585981265,52,35.99,-106.08,44.01,9.17
335,Yenagoa,100,NG,1585981267,91,4.92,6.26,79.36,2.98
336,Lokosovo,0,RU,1585981268,83,61.13,74.82,38.01,12.19
337,Iralaya,3,HN,1585981271,83,15,-83.23,75.25,8.46
338,Moyale,64,KE,1585981273,58,3.52,39.06,73.54,12.66
339,Manakara,37,MG,1585981277,73,-22.13,48.02,75.81,6.15
340,Tigil',2,RU,1585981279,91,57.8,158.67,16.79,6.76
341,Mitsamiouli,20,KM,1585981281,62,-11.38,43.28,86,4.7
342,Marzuq,16,YE,1585981283,15,14.4,46.47,80.08,5.39
343,Olympia,1,US,1585981285,92,47.04,-122.9,39.99,2.68
344,Kuril'sk,90,RU,1585981287,84,45.23,147.88,34.77,12.01
345,Chapais,90,CA,1585981290,85,49.78,-74.85,39.2,5.82
346,Séguéla,68,CI,1585981295,77,7.96,-6.67,75.7,5.59
347,San Ramon,1,US,1585981297,87,37.78,-121.98,51.8,9.17
348,Edd,0,ER,1585981299,47,13.93,41.69,87.12,9.71
349,Kubanskiy,14,RU,1585981301,59,45.93,40.58,49.93,1.63
350,Cabo San Lucas,18,MX,1585981303,28,22.89,-109.91,70,11.23
351,Ascension,1,US,1585981170,93,30.22,-90.9,66.2,3.09
352,Omboué,100,GA,1585981308,84,-1.57,9.26,80.1,4.85
353,Disna,55,BY,1585981312,79,55.57,28.2,35.98,9.51
354,Conneaut,90,US,1585981314,93,41.95,-80.55,44.6,1.61
355,Marigot,1,MF,1585981316,88,18.07,-63.08,75.99,1.12
356,Fort Nelson,75,CA,1585981318,52,58.81,-122.7,19.4,2.24
357,Nipawin,1,CA,1585981320,76,53.37,-104,-9.4,4.7
358,Thompson,90,CA,1585981322,85,55.74,-97.86,15.8,9.17
359,Valparaíso,0,CL,1585981324,93,-33.04,-71.63,50,5.82
360,Hay River,20,CA,1585981326,70,60.82,-115.8,-2.2,6.93
361,Moyo,99,UG,1585981328,67,3.66,31.72,69.66,7.38
362,Waitati,95,NZ,1585981330,82,-45.75,170.57,57.99,23
363,Taoudenni,0,ML,1585981332,18,22.68,-3.98,71.94,6.46
364,Kruisfontein,0,ZA,1585981334,47,-34,24.73,74.01,9.31
365,Arlit,0,NE,1585981337,11,18.74,7.39,79.68,4.99
366,Ikalamavony,29,MG,1585981339,45,-21.15,46.58,70.05,6.78
367,Kavieng,100,PG,1585981341,90,-2.57,150.8,78.96,15.7
368,High Level,90,CA,1585981343,47,58.52,-117.14,15.8,4.7
369,Ust'-Ilimsk,94,RU,1585981345,66,58,102.66,37.15,12.33
370,Lavrentiya,100,RU,1585981347,96,65.58,-171,19.17,20.85
371,Lázaro Cárdenas,0,MX,1585981349,80,17.96,-102.2,72.46,2.26
372,Pendleton,20,US,1585981353,60,45.67,-118.79,42.01,9.17
373,Carutapera,95,BR,1585981355,86,-1.2,-46.02,79.12,8.41
374,Ust'-Kut,100,RU,1585981357,76,56.79,105.77,37.9,11.41
375,Ferreira do Alentejo,85,PT,1585981359,78,38.05,-8.03,47.52,8.28
376,Lompoc,0,US,1585981219,81,34.64,-120.46,55.4,9.17
377,Tshikapa,90,CD,1585981363,79,-6.42,20.8,72.1,2.64
